NO,compactor,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
2,1,1,1,118,44,49,58,129,184,187,209
2,1,1,2,77526,11905,14468,17935,70607,144127,186136,257170
2,1,1,3,3600837,151093,229749,294100,1503438,13181515,13713292,15783750
2,1,1,4,220108,9348,18317,20913,91216,850755,918807,1394120
2,1,1,5,247,71,75,77,213,457,460,499
2,1,2,1,45,25,25,25,49,59,59,59
2,1,2,2,11674,5545,5545,5545,12367,17334,17334,17334
2,1,2,3,289517,136762,136762,136762,306206,451414,451414,451414
2,1,2,4,28625,14258,14258,14258,28969,42852,42852,42852
2,1,2,5,613,22,22,22,32,4116,4116,4116
2,1,3,1,42,17,17,17,38,63,66,154
2,1,3,2,7,0,0,0,7,15,26,30
2,1,3,4,113622,78,4937,5595,28944,566801,764046,1364201
2,1,3,5,170,40,53,53,76,121,132,2006
2,1,4,1,31378,11,13,16,24,47,451997,519971
2,1,4,2,3185,748,2021,2086,2420,4781,5455,8214
2,1,4,3,960536,38652,43745,169307,728910,2370697,2522862,2644272
2,1,4,4,128468,5064,5139,12858,35963,204378,797538,1352833
2,1,4,5,33,15,19,23,33,43,44,55

3,1,1,1,128,29,46,61,130,207,218,243
3,1,1,2,86006,16093,20441,23720,84340,140890,173685,201273
3,1,1,3,3766958,95976,295195,383646,1936064,11844557,14048596,17799407
3,1,1,4,220478,13270,21371,26503,103796,726014,919304,2119974
3,1,1,5,335,90,98,102,340,427,431,1916
3,1,2,1,50,23,23,23,60,82,82,82
3,1,2,2,10174,5595,5595,5595,9650,15903,15903,15903
3,1,2,3,366839,91519,91519,91519,350785,685122,685122,685122
3,1,2,4,33368,9738,9738,9738,33515,62192,62192,62192
3,1,2,5,33,20,20,20,31,48,48,48
3,1,3,1,67940,15,15,17,37,437233,717092,717092
3,1,3,2,801,0,0,1,8,32,82,39653
3,1,3,3,1363022,323413,501843,682949,974592,2553668,2650537,2708968
3,1,3,4,208519,4985,5027,7102,40384,635195,749250,1154106
3,1,3,5,77,47,47,51,77,100,141,141
3,1,4,1,21298,9,11,12,21,58,220,556931
3,1,4,2,4728,5,322,1545,2413,10313,14419,35980
3,1,4,3,859222,84306,117605,176839,816380,1544750,1615191,2724351
3,1,4,4,105878,9837,14763,19680,36434,75391,592744,1356182
3,1,4,5,35,20,25,27,34,45,50,84

4,1,1,1,93,27,27,43,92,150,197,197
4,1,1,2,51685,9184,11865,14852,39794,116992,133807,140446
4,1,1,3,1103026,49998,279425,347392,924042,2274103,2663518,2977405
4,1,1,4,65102,3736,20824,23007,60718,124577,129412,147132
4,1,1,5,157,60,60,65,141,277,283,283
4,1,2,1,54,19,19,19,72,90,90,90
